주차장명,시간대,요일,입차대수,출차대수,시간대별 차량대수
올림픽공원,2024-07-01 00:00:00,Monday,17,3,14
올림픽공원,2024-07-01 01:00:00,Monday,17,9,22
올림픽공원,2024-07-01 02:00:00,Monday,6,10,18
올림픽공원,2024-07-01 03:00:00,Monday,9,5,22
올림픽공원,2024-07-01 04:00:00,Monday,28,9,41
올림픽공원,2024-07-01 05:00:00,Monday,377,28,390
올림픽공원,2024-07-01 06:00:00,Monday,379,160,609
올림픽공원,2024-07-01 07:00:00,Monday,334,449,494
올림픽공원,2024-07-01 08:00:00,Monday,791,589,696
올림픽공원,2024-07-01 09:00:00,Monday,538,296,938
올림픽공원,2024-07-01 10:00:00,Monday,499,481,956
올림픽공원,2024-07-01 11:00:00,Monday,327,533,750
올림픽공원,2024-07-01 12:00:00,Monday,323,523,550
올림픽공원,2024-07-01 13:00:00,Monday,410,327,633
올림픽공원,2024-07-01 14:00:00,Monday,363,330,666
올림픽공원,2024-07-01 15:00:00,Monday,353,402,617
올림픽공원,2024-07-01 16:00:00,Monday,368,454,531
올림픽공원,2024-07-01 17:00:00,Monday,467,455,543
올림픽공원,2024-07-01 18:00:00,Monday,539,505,577
올림픽공원,2024-07-01 19:00:00,Monday,471,390,658
올림픽공원,2024-07-01 20:00:00,Monday,364,423,599
올림픽공원,2024-07-01 21:00:00,Monday,106,432,273
올림픽공원,2024-07-01 22:00:00,Monday,36,266,43
올림픽공원,2024-07-01 23:00:00,Monday,9,22,30
올림픽공원,2024-07-02 00:00:00,Tuesday,5,4,31
올림픽공원,2024-07-02 01:00:00,Tuesday,1,1,31
올림픽공원,2024-07-02 02:00:00,Tuesday,1,1,31
올림픽공원,2024-07-02 03:00:00,Tuesday,8,2,37
올림픽공원,2024-07-02 04:00:00,Tuesday,20,4,53
올림픽공원,2024-07-02 05:00:00,Tuesday,387,23,417
올림픽공원,2024-07-02 06:00:00,Tuesday,400,135,682
올림픽공원,2024-07-02 07:00:00,Tuesday,295,480,497
올림픽공원,2024-07-02 08:00:00,Tuesday,781,596,682
올림픽공원,2024-07-02 09:00:00,Tuesday,631,384,929
올림픽공원,2024-07-02 10:00:00,Tuesday,444,427,946
올림픽공원,2024-07-02 11:00:00,Tuesday,266,520,692
올림픽공원,2024-07-02 12:00:00,Tuesday,283,482,493
올림픽공원,2024-07-02 13:00:00,Tuesday,393,318,568
올림픽공원,2024-07-02 14:00:00,Tuesday,286,250,604
올림픽공원,2024-07-02 15:00:00,Tuesday,361,370,595
올림픽공원,2024-07-02 16:00:00,Tuesday,306,384,517
올림픽공원,2024-07-02 17:00:00,Tuesday,416,427,506
올림픽공원,2024-07-02 18:00:00,Tuesday,479,434,551
올림픽공원,2024-07-02 19:00:00,Tuesday,389,348,592
올림픽공원,2024-07-02 20:00:00,Tuesday,331,369,554
올림픽공원,2024-07-02 21:00:00,Tuesday,85,388,251
올림픽공원,2024-07-02 22:00:00,Tuesday,21,241,31
올림픽공원,2024-07-02 23:00:00,Tuesday,5,14,22
올림픽공원,2024-07-03 00:00:00,Wednesday,4,4,22
올림픽공원,2024-07-03 01:00:00,Wednesday,3,2,23
올림픽공원,2024-07-03 02:00:00,Wednesday,1,1,23
올림픽공원,2024-07-03 03:00:00,Wednesday,6,3,26
올림픽공원,2024-07-03 04:00:00,Wednesday,20,2,44
올림픽공원,2024-07-03 05:00:00,Wednesday,340,16,368
올림픽공원,2024-07-03 06:00:00,Wednesday,369,107,630
올림픽공원,2024-07-03 07:00:00,Wednesday,298,452,476
올림픽공원,2024-07-03 08:00:00,Wednesday,759,575,660
올림픽공원,2024-07-03 09:00:00,Wednesday,623,289,994
올림픽공원,2024-07-03 10:00:00,Wednesday,504,480,1018
올림픽공원,2024-07-03 11:00:00,Wednesday,331,557,792
올림픽공원,2024-07-03 12:00:00,Wednesday,352,521,623
올림픽공원,2024-07-03 13:00:00,Wednesday,453,375,701
